SATELLITE;BAND;WAVELENGTH;RSR;stdev
Landsat 8;4;678;0.007333;0.000848
Landsat 8;4;679;0.003205;0.000512
Landsat 8;4;680;0.001402;0.000459
Landsat 8;4;681;0.000554;0.000523
Landsat 8;4;682;0.000117;0.000389
Landsat 8;4;683;-0.000122;0.000388
Landsat 8;4;684;-0.000289;0.000381
Landsat 8;4;685;-0.000376;0.00039
Landsat 8;4;686;-0.000396;0.000387
Landsat 8;4;687;-0.000458;0.00039
Landsat 8;4;688;-0.000488;0.000396
Landsat 8;4;689;-0.000457;0.000394
Landsat 8;4;690;-0.000429;0.000384
Landsat 8;4;691;-0.000417;0.000391
Landsat 8;5;829;-0.000034;-0.000309
Landsat 8;5;830;0.000011;0.000048
Landsat 8;5;831;0.00005;0.000359
Landsat 8;5;832;0.0001;0.000393
Landsat 8;5;833;0.000239;0.000405
Landsat 8;5;834;0.000314;0.000377
Landsat 8;5;835;0.000495;0.000383
Landsat 8;5;836;0.000719;0.00039
Landsat 8;5;837;0.000986;0.000401
Landsat 8;5;838;0.001445;0.000386
Landsat 8;5;839;0.002107;0.000409
Landsat 8;5;840;0.00316;0.000426
Landsat 8;5;841;0.004744;0.000505
Landsat 8;5;842;0.007059;0.000619
Landsat 8;5;843;0.0109;0.000891
Landsat 8;5;844;0.017346;0.001476
Landsat 8;5;845;0.028332;0.002597
Landsat 8;5;846;0.048191;0.00496
Landsat 8;5;847;0.084363;0.009759
Landsat 8;5;848;0.145365;0.017633
Landsat 8;5;849;0.249733;0.030303
Landsat 8;5;850;0.403526;0.043919
Landsat 8;5;851;0.582623;0.049135
Landsat 8;5;852;0.745037;0.036772
Landsat 8;5;853;0.890315;0.020756
Landsat 8;5;854;0.960215;0.006474
Landsat 8;5;855;0.986833;0.00408
Landsat 8;5;856;0.973133;0.006221
Landsat 8;5;857;0.980606;0.004677
Landsat 8;5;858;0.99612;0.002223
Landsat 8;5;859;1;0.001416
Landsat 8;5;860;0.989777;0.003135
Landsat 8;5;861;0.980733;0.003784
Landsat 8;5;862;0.975935;0.005028
Landsat 8;5;863;0.972043;0.005596
Landsat 8;5;864;0.957357;0.00745
Landsat 8;5;865;0.951209;0.007991
Landsat 8;5;866;0.947044;0.009135
Landsat 8;5;867;0.953162;0.008585
Landsat 8;5;868;0.951499;0.009336
Landsat 8;5;869;0.94845;0.00919
Landsat 8;5;870;0.940094;0.010652
Landsat 8;5;871;0.950632;0.010052
Landsat 8;5;872;0.956079;0.009926
Landsat 8;5;873;0.96646;0.009416
Landsat 8;5;874;0.969821;0.008139
Landsat 8;5;875;0.93661;0.011572
Landsat 8;5;876;0.891066;0.017599
Landsat 8;5;877;0.788733;0.025606
Landsat 8;5;878;0.63532;0.032347
Landsat 8;5;879;0.448364;0.032288
Landsat 8;5;880;0.288847;0.025616
Landsat 8;5;881;0.174619;0.017249
Landsat 8;5;882;0.100343;0.010665
Landsat 8;5;883;0.058265;0.006255
Landsat 8;5;884;0.034532;0.003632
Landsat 8;5;885;0.02072;0.002106
Landsat 8;5;886;0.01244;0.001285
Landsat 8;5;887;0.007601;0.000796
Landsat 8;5;888;0.004702;0.000512
Landsat 8;5;889;0.002944;0.000386
Landsat 8;5;890;0.00187;0.000323
Landsat 8;5;891;0.001192;0.000293
